date,ADS_Index
1961:02:09,-0.681533
1961:02:10,-0.673297
1961:02:11,-0.663172
1961:02:12,-0.651155
1961:02:13,-0.637242
1961:02:14,-0.621428
1961:02:15,-0.60371
1961:02:16,-0.584081
1961:02:17,-0.562536
1961:02:18,-0.539069
1961:02:19,-0.513672
1961:02:20,-0.486337
1961:02:21,-0.457057
1961:02:22,-0.425822
1961:02:23,-0.392624
1961:02:24,-0.357451
1961:02:25,-0.320294
1961:02:26,-0.281141
1961:02:27,-0.23998
1961:02:28,-0.196799
1961:03:01,-0.151586
1961:03:02,-0.107372
1961:03:03,-0.0641454
1961:03:04,-0.0218927
1961:03:05,0.019399
1961:03:06,0.059742
1961:03:07,0.0991486
1961:03:08,0.137631
1961:03:09,0.1752
1961:03:10,0.211867
1961:03:11,0.247644
1961:03:12,0.282541
1961:03:13,0.316569
1961:03:14,0.349738
1961:03:15,0.382058
1961:03:16,0.413539
1961:03:17,0.444191
1961:03:18,0.474021
1961:03:19,0.503041
1961:03:20,0.531258
1961:03:21,0.55868
1961:03:22,0.585317
1961:03:23,0.611176
1961:03:24,0.636265
1961:03:25,0.660592
1961:03:26,0.684163
1961:03:27,0.706987
1961:03:28,0.729069
1961:03:29,0.750417
1961:03:30,0.771037
1961:03:31,0.790936
1961:04:01,0.810118
1961:04:02,0.829144
1961:04:03,0.848018
1961:04:04,0.866747
1961:04:05,0.885337
1961:04:06,0.903792
1961:04:07,0.922118
1961:04:08,0.940322
1961:04:09,0.958408
1961:04:10,0.976382
1961:04:11,0.994249
1961:04:12,1.01201
1961:04:13,1.02968
1961:04:14,1.04726
1961:04:15,1.06476
1961:04:16,1.08217
1961:04:17,1.09951
1961:04:18,1.11678
1961:04:19,1.13399
1961:04:20,1.15113
1961:04:21,1.16823
1961:04:22,1.18527
1961:04:23,1.20227
1961:04:24,1.21923
1961:04:25,1.23616
1961:04:26,1.25306
1961:04:27,1.26994
1961:04:28,1.28679
1961:04:29,1.30364
1961:04:30,1.32048
1961:05:01,1.33731
1961:05:02,1.35349
1961:05:03,1.36901
1961:05:04,1.38388
1961:05:05,1.39811
1961:05:06,1.41169
1961:05:07,1.42464
1961:05:08,1.43696
1961:05:09,1.44865
1961:05:10,1.45971
1961:05:11,1.47014
1961:05:12,1.47996
1961:05:13,1.48917
1961:05:14,1.49776
1961:05:15,1.50574
1961:05:16,1.51311
1961:05:17,1.51987
1961:05:18,1.52603
1961:05:19,1.53159
1961:05:20,1.53655
1961:05:21,1.5409
1961:05:22,1.54466
1961:05:23,1.54783
1961:05:24,1.5504
1961:05:25,1.55237
1961:05:26,1.55375
1961:05:27,1.55453
1961:05:28,1.55472
1961:05:29,1.55432
1961:05:30,1.55332
1961:05:31,1.55173
1961:06:01,1.54955
1961:06:02,1.54702
1961:06:03,1.54415
1961:06:04,1.54094
1961:06:05,1.53739
1961:06:06,1.53349
1961:06:07,1.52925
1961:06:08,1.52465
1961:06:09,1.51971
1961:06:10,1.51442
1961:06:11,1.50878
1961:06:12,1.50278
1961:06:13,1.49643
1961:06:14,1.48973
1961:06:15,1.48266
1961:06:16,1.47523
1961:06:17,1.46744
1961:06:18,1.45928
1961:06:19,1.45075
1961:06:20,1.44186
1961:06:21,1.43259
1961:06:22,1.42294
1961:06:23,1.41292
1961:06:24,1.40251
1961:06:25,1.39171
1961:06:26,1.38053
1961:06:27,1.36896
1961:06:28,1.35699
1961:06:29,1.34462
1961:06:30,1.33185
1961:07:01,1.31867
1961:07:02,1.30584
1961:07:03,1.29335
1961:07:04,1.2812
1961:07:05,1.2694
1961:07:06,1.25792
1961:07:07,1.24677
1961:07:08,1.23595
1961:07:09,1.22546
1961:07:10,1.21528
1961:07:11,1.20542
1961:07:12,1.19587
1961:07:13,1.18664
1961:07:14,1.17771
1961:07:15,1.16909
1961:07:16,1.16077
1961:07:17,1.15275
1961:07:18,1.14503
1961:07:19,1.1376
1961:07:20,1.13047
1961:07:21,1.12363
1961:07:22,1.11708
1961:07:23,1.11081
1961:07:24,1.10483
1961:07:25,1.09914
1961:07:26,1.09373
1961:07:27,1.08859
1961:07:28,1.08374
1961:07:29,1.07916
1961:07:30,1.07486
1961:07:31,1.07083
1961:08:01,1.06707
1961:08:02,1.06245
1961:08:03,1.05694
1961:08:04,1.05056
1961:08:05,1.04329
1961:08:06,1.03515
1961:08:07,1.02611
1961:08:08,1.0162
1961:08:09,1.00539
1961:08:10,0.993686
