date,GDP,GPDIC1,OUTNFB,OUTBS,INDPRO,CMRMTSPLx,IPMAT,FPIx,IPFINAL,IPDMAT
9/1/1978,0.010005012,0.028719323,0.008999235,0.010946871,0.008680814,0.002984598,0.008385673,0.026803528,0.009747267,0.021707522
12/1/1978,0.013351929,0.022862092,0.018513941,0.014656139,0.017738209,0.0163317,0.018856888,0.021837289,0.01679469,0.031255226
3/1/1979,0.001796222,0.001659907,-0.001953355,0.001255263,0.004227271,0.0004226,-0.000933645,0.009102045,0.009554783,-0.002033637
6/1/1979,0.001068719,-0.000901044,0.00130266,0.001201484,-0.002158414,0.001228495,0.000605166,-0.005558801,-0.006748111,-0.006209379
9/1/1979,0.007401278,-0.016984191,0.00780636,0.008810172,-0.002802172,-0.001575921,-0.006741585,0.017557976,0.001866748,-0.008082431
12/1/1979,0.002497614,-0.017897978,0.001084431,0.001447927,0.003822786,-0.006912584,0.001759122,-0.009144039,0.005687638,-0.007852859
3/1/1980,0.003140217,-0.006862045,0.002319828,0.001781174,0.004044008,-0.007279295,0.004068562,-0.013115726,0.00838986,-0.000509417
6/1/1980,-0.020820007,-0.088863324,-0.028729353,-0.028488527,-0.043375641,-0.049766721,-0.051216049,-0.085488936,-0.028753861,-0.079102752
9/1/1980,-0.001189193,-0.068279894,-0.000609603,-0.002470941,-0.016561608,0.018105239,-0.028448772,0.012006818,-0.003341391,-0.052759205
12/1/1980,0.018477486,0.089112955,0.023425675,0.023503895,0.03775887,0.038154985,0.046064816,0.036968727,0.027632271,0.078062307
3/1/1981,0.019404882,0.08852083,0.02101456,0.024334474,0.002380767,0.001737916,0.002344565,0.009080319,0.002238616,0.000576977
6/1/1981,-0.007438376,-0.042328376,-0.012221878,-0.010272448,0.003065999,-0.013363771,-0.002425439,0.007835085,0.009894723,0.008135319
9/1/1981,0.011904108,0.054831545,0.008792389,0.013867025,0.009571752,-0.00680478,0.014385449,0.000409171,0.005291725,-0.006216846
12/1/1981,-0.010955252,-0.035849591,-0.014921058,-0.016021534,-0.022090977,-0.029112514,-0.035260707,-0.003109216,-0.003189994,-0.056562273
3/1/1982,-0.015657344,-0.099368207,-0.021856653,-0.02148946,-0.020762988,-0.005733082,-0.026505841,-0.027929987,-0.014945197,-0.051054738
6/1/1982,0.004551591,-0.000759997,0.004819667,0.00452827,-0.012844039,0.005589931,-0.022295016,-0.031797208,-0.002700107,-0.019226027
9/1/1982,-0.003830279,-0.009206063,-0.005400648,-0.006340079,-0.014400865,-0.017177765,-0.02187125,-0.024029679,-0.008781835,-0.032351504
12/1/1982,0.000399345,-0.080449828,-0.001030751,-0.000815071,-0.019014377,-0.011240834,-0.024249161,0.0005448,-0.015577758,-0.053825462
3/1/1983,0.013092462,0.034059803,0.018989819,0.014752033,0.011529754,0.020728799,0.015917367,0.022187959,0.00363316,0.047735678
6/1/1983,0.022500997,0.08485651,0.03302247,0.027682633,0.021983113,0.028442128,0.024152657,0.036925714,0.017330724,0.052076782
9/1/1983,0.019793498,0.060725599,0.024401131,0.024258406,0.033719378,0.025373418,0.037190727,0.054515895,0.029280493,0.052398304
12/1/1983,0.020647558,0.092837516,0.023963388,0.024980645,0.026025813,0.033448329,0.031787829,0.054234023,0.019389118,0.050623701
3/1/1984,0.019359094,0.092254927,0.022748138,0.024629393,0.028888872,0.021935989,0.029876727,0.030895059,0.029242348,0.050188911
6/1/1984,0.017130343,0.032002568,0.018852315,0.021313384,0.01527645,0.01413683,0.017053459,0.038313892,0.012413546,0.02249553
9/1/1984,0.009594467,0.021409873,0.008726099,0.00985342,0.007074767,0.002569946,0.004886594,0.019654805,0.008805606,0.011891009
12/1/1984,0.008175121,-0.013055977,0.00761287,0.007822431,0.00048841,0.00958121,-0.011207514,0.017744548,0.014159552,0.001731258
3/1/1985,0.009644213,-0.027801265,0.01093226,0.011775904,0.003278998,0.006416594,0.003280355,0.009001182,0.003701874,-0.002654493
6/1/1985,0.008766019,0.016888983,0.009863897,0.009634946,0.000669422,0.008048609,-0.001339663,0.012818445,-0.000291317,-0.005300157
9/1/1985,0.015155812,-0.006841009,0.015443306,0.017307368,-0.001367732,0.007556635,-0.004787438,-0.004064118,0.002466023,-0.003741312
12/1/1985,0.007405432,0.036195306,0.009014732,0.007274486,0.005837979,0.001565446,0.003686372,0.018824175,0.008900426,0.004252229
3/1/1986,0.009291737,-0.000293548,0.010365678,0.009802321,0.005997336,0.01029848,0.005009057,0.002856553,0.005450159,0.013608088
6/1/1986,0.004493728,-0.017613069,0.005153443,0.003889939,-0.006149322,0.014396489,-0.012306657,0.000226315,-0.004435034,-0.00925087
9/1/1986,0.009524818,-0.027267142,0.009323436,0.01057273,0.003914217,0.015761801,0.001628983,-0.004428667,0.004904785,0.004953706
12/1/1986,0.005356386,0.002988768,0.005414494,0.004900123,0.01140791,0.006717493,0.012402152,0.007688253,0.010180289,0.013166234
3/1/1987,0.007424088,0.026628827,0.007776462,0.007761575,0.013143079,0.004755178,0.013603447,-0.017435518,0.012054536,0.019889223
6/1/1987,0.010731193,0.000520902,0.012383548,0.012011971,0.017315919,0.009981549,0.019920075,0.015183675,0.012408986,0.022259145
9/1/1987,0.008638699,0.000145079,0.007072079,0.007488226,0.01851722,0.012112766,0.01948572,0.017140401,0.017972439,0.020827796
12/1/1987,0.017024778,0.065916905,0.020062977,0.018967648,0.024079044,0.005639569,0.026417112,-0.000447006,0.024771371,0.043448592
3/1/1988,0.005152964,-0.04919591,0.004461714,0.003722916,0.009029152,0.015260234,0.007582867,0.000581077,0.011757499,0.008954704
6/1/1988,0.013053109,0.023546928,0.016556343,0.015028683,0.008489003,0.01425716,0.011126894,0.019357063,0.008834001,0.017878106
9/1/1988,0.005842189,0.00554008,0.005263991,0.005135075,0.003597643,0.005173511,0.005962995,0.004666082,0.00121882,0.00530283
12/1/1988,0.013236962,0.015145051,0.013538906,0.013713285,0.007196007,0.017466927,0.004836284,0.011789086,0.0106377,0.016678561
3/1/1989,0.010114698,0.033377987,0.010457711,0.011554861,0.004498946,0.001742205,0.00346969,0.008885786,0.004985711,0.001563923
6/1/1989,0.00760371,-0.009719907,0.006942962,0.007453827,-0.003602878,-0.002592406,-0.005069656,0.001303296,-0.001810642,-0.015234587
9/1/1989,0.007381497,-0.009019166,0.007044862,0.007454804,-0.006156581,0.000561045,-0.004921269,0.017362781,-0.008731116,-0.009145325
12/1/1989,0.001968529,-0.007445512,0.000149751,0.000579781,0.004284932,0.000960897,0.002855029,-0.013025511,0.005226106,-0.00505963
